lac, lon, lat, adr
7812,30.398963888889,59.828280555556,Россия_Санкт-Петербург_Санкт-Петербург_Фрунзенский_Ул.  Олеко Дундича 32 к.1Б
4701,30.398963888889,59.828280555556,Россия_Санкт-Петербург_Санкт-Петербург_Фрунзенский_Ул.  Олеко Дундича 32 к.1Б
7816,30.2894439697266,60.0205574035645,Россия_Санкт-Петербург_ _Приморский_Главная 35
7804,30.2954,59.9624,Россия_Санкт-Петербург_ __Колпинский пер._ д. 1
7816,30.4183330535889,59.6986122131348,Россия_Санкт-Петербург_Пушкин_Пушкин_Кедринская д.8
7840,30.4347297333,60.0319674466,Россия_Санкт-Петербург_ __ул. Руставели_ д.61А
7831,30.4402649933,59.95765562,Россия_Санкт-Петербург_ __Энергетиков пр._ дом 35_ к. 3 лит. А
7833,30.47527922,59.91816423,Россия_Санкт-Петербург_Санкт-Петербург_Невский_Большевиков пр._ д. 4_ к. 1
4706,29.0888888888889,60.4455555555556,Россия_Ленинградская область_Каменка_Выборгский_дом 61
7899,30.330542,59.934659,Россия_Санкт-Петербург_Санкт-Петербург_Центральный_Невский пр._ д. 30_ пом. 18
7803,30.330542,59.934659,Россия_Санкт-Петербург_Санкт-Петербург_Центральный_Невский пр._ д. 30_ пом. 18
4701,30.354805,59.761804,Россия_Санкт-Петербург_Шушары_Пушкинский_Петербургское шоссе_  64к1
7840,30.43794,60.0023611111111,Россия_Санкт-Петербург_Санкт-Петербург_Калининский_ул. Руставели_ дом 13_ Типография им. Котлякова
7812,30.3945810533,59.86187282,Россия_Санкт-Петербург_ __ул. Бухарестская д.94 к.4
4711,30.43794,60.0023611111111,Россия_Санкт-Петербург_Санкт-Петербург_Калининский_ул. Руставели_ дом 13_ Типография им. Котлякова
4736,29.0888888888889,60.4455555555556,Россия_Ленинградская область_Каменка_Выборгский_дом 61
7827,30.2844464966,59.94518315,Россия_Санкт-Петербург_ __В.О. Средний пр. д. 11
7804,30.336531,59.92431,Россия_Санкт-Петербург_Санкт-Петербург_Центральный_Загородный пр._ 27
4711,30.322681,60.082391,Россия_Санкт-Петербург_Парголово_Выборгский_ул. Донецкая 2
4784,30.881,59.5470555555556,Россия_Ленинградская область_Тосно_Тосненский_Ул железнодорожная_ у д.5
4711,30.3236083333333,60.0493111111111,Россия_Санкт-Петербург_Санкт-Петербург_Выборгский_ул. Асафьева_ 4_ АТС-592
4708,30.881,59.5470555555556,Россия_Ленинградская область_Тосно_Тосненский_Ул железнодорожная_ у д.5
7832,30.432514205,59.892682455,Россия_Санкт-Петербург_ __ул. Ткачей_ д.18
7816,30.27805519104,59.8891677856445,Россия_Санкт-Петербург_Санкт-Петербург_Кировский_пр. Маршала Говорова_ 35
7807,30.32563333,59.87916111,Россия_Санкт-Петербург_Санкт-Петербург_Московский_ ул. Решетникова_ 14a
7816,30.2488880157471,59.8555564880371,Россия_Санкт-Петербург_Санкт-Петербург_Кировский_пр. Стачек 140
4707,30.2362222222222,59.6713361111111,Россия_Ленинградская область_Дони_Гатчинский_
7804,30.35772778,59.92774722,Россия_Санкт-Петербург_Санкт-Петербург_Центральный_Лиговский пр._ д. 61-63
4702,31.0378055555556,59.8408055555556,Россия_Ленинградская область_ _Кировский_к северу от СНТ "дружба" у пл 11км
4707,29.6231944444444,59.7405555555556,Россия_Ленинградская область_Гостилицы_Ломоносовский_котельная
4708,31.0378055555556,59.8408055555556,Россия_Ленинградская область_ _Кировский_к северу от СНТ "дружба" у пл 11км
4707,28.479,59.8113333333333,Россия_Ленинградская область_Логи_Ломоносовский_ 
7816,30.412273,59.734479,Россия_Санкт-Петербург_Пушкин_Пушкин_Школьная улица_ 39
7834,30.35772778,59.92774722,Россия_Санкт-Петербург_Санкт-Петербург_Центральный_Лиговский пр._ д. 61-63
7809,29.6231944444444,59.7405555555556,Россия_Ленинградская область_Гостилицы_Ломоносовский_котельная
7816,30.3389916666667,59.9736944444444,Россия_Санкт-Петербург_Санкт-Петербург_Выборгский_Гельсингфорсская ул._ д.2А
7824,30.3103484466,59.9973642733,Россия_Санкт-Петербург_ __ул. Матроса Железняка_ д. 39
7816,30.9954861111111,59.8995,Россия_Ленинградская область_Кировск_Кировский_Беляевская д.16
7810,30.3012,59.9123,Россия_Санкт-Петербург_Санкт-Петербург__11-я Красноармейская ул._ 11
4702,28.6156138888889,59.3363333333333,Россия_Ленинградская область_Кингисепп_Кингисеппский_ 
4751,28.7716,60.7207,Россия_Ленинградская область_Выборг__ул. Гора Паппула_ д. 1
4752,29.4784722222222,60.4497222222222,Россия_Ленинградская область_Овсяное_Выборгский_ 
4706,29.4784722222222,60.4497222222222,Россия_Ленинградская область_Овсяное_Выборгский_ 
4734,29.4784722222222,60.4497222222222,Россия_Ленинградская область_Овсяное_Выборгский_ 
4734,29.9531111111111,60.0866111111111,Россия_Санкт-Петербург_Сестрорецк_Курортный_ул. Токарева 8
7833,30.497301793035,59.9346290913644,Россия_Санкт-Петербург_Санкт-Петербург_Красногвардейский_ул. Хасанская_ 17_ корп. 1
7806,30.497301793035,59.9346290913644,Россия_Санкт-Петербург_Санкт-Петербург_Красногвардейский_ул. Хасанская_ 17_ корп. 1
7810,30.387012,59.992527,Россия_Санкт-Петербург_Санкт-Петербург_Калининский_пр. Непокоренных д. 17-3 лит. В
7811,30.303817,59.964252,Россия_Санкт-Петербург_Санкт-Петербург_Петроградский_Малый пр. П.С._ д. 69
7839,30.43827303,59.8762287566,Россия_Санкт-Петербург_ __Полярников_ 6
4701,30.381286,59.702527,Россия_Санкт-Петербург_Пушкин_Пушкинский_Полковая_ 1/25
4707,29.6469444444444,59.6954444444444,Россия_Ленинградская область_Дятлицы_Ломоносовский_РРС Ростелеком
4706,28.8516944444444,60.6753611111111,Россия_Ленинградская область_Черкасово_Выборгский_
4736,28.8516944444444,60.6753611111111,Россия_Ленинградская область_Черкасово_Выборгский_
4711,30.420851,60.007805,Россия_Санкт-Петербург_ _Калининский_пр. Науки д. 38
4704,29.71266,60.37109,Россия_Ленинградская область_Первомайское_Выборгский_Мачта 19 м на здании 30 м_ ЗАО Птицефабрика "РОСКАР"
7840,30.420851,60.007805,Россия_Санкт-Петербург_ _Калининский_пр. Науки д. 38
7808,30.3587777777778,59.9987777777778,Россия_Санкт-Петербург_Санкт-Петербург_Выборгский_2-й Муринский пр._ 49_ ЦНИИ ЦБП
7810,30.3587777777778,59.9987777777778,Россия_Санкт-Петербург_Санкт-Петербург_Выборгский_2-й Муринский пр._ 49_ ЦНИИ ЦБП
4705,30.4449166666667,60.1114722222222,Россия_Ленинградская область_Энколово_Всеволожский_ 
4711,30.4449166666667,60.1114722222222,Россия_Ленинградская область_Энколово_Всеволожский_ 
4734,29.71266,60.37109,Россия_Ленинградская область_Первомайское_Выборгский_Мачта 19 м на здании 30 м_ ЗАО Птицефабрика "РОСКАР"
4734,29.6169944444444,60.247225,Россия_Ленинградская область_Рощино_Выборгский_ул. Верх. Рощино
7835,30.37719,59.7344,Россия_Санкт-Петербург_Пушкин_Пушкинский_Кузьминское шоссе_ 66
4701,30.37719,59.7344,Россия_Санкт-Петербург_Пушкин_Пушкинский_Кузьминское шоссе_ 66
